,year_built,beds,baths,baths_full,garage,sqft,stories,listPrice,property_type
333,2003.0,4.0,3.0,2.0,2.0,1615.0,2.0,391990.0,Affordable
335,2003.0,4.0,3.0,2.0,2.0,2371.0,2.0,559990.0,Average
341,2003.0,4.0,0.0,2.0,2.0,2400.0,2.0,25500.0,Affordable
343,2010.0,3.0,2.0,2.0,2.0,2300.0,2.0,469900.0,Average
347,2003.0,3.0,3.0,2.0,2.0,2187.0,2.0,378990.0,Affordable
354,2003.0,4.0,3.0,2.0,2.0,2247.0,2.0,366990.0,Affordable
355,2003.0,3.0,3.0,2.0,2.0,1818.0,2.0,564990.0,Average
356,2003.0,5.0,3.0,2.0,2.0,2698.0,2.0,685900.0,Luxury
357,2003.0,3.0,3.0,2.0,2.0,1923.0,2.0,580500.0,Average
368,2003.0,5.0,3.0,2.0,2.0,2698.0,2.0,691900.0,Luxury
369,2003.0,2.0,2.0,2.0,2.0,2615.0,2.0,454900.0,Average
371,2003.0,3.0,3.0,2.0,2.0,2378.0,2.0,739990.0,Luxury
374,2003.0,3.0,2.0,2.0,2.0,1399.0,2.0,414990.0,Average
375,2003.0,3.0,2.0,2.0,2.0,1337.0,2.0,454900.0,Average
379,2003.0,4.0,3.0,2.0,2.0,2424.0,2.0,574900.0,Average
390,2003.0,3.0,3.0,2.0,2.0,1818.0,2.0,499990.0,Average
391,2003.0,3.0,3.0,2.0,2.0,2218.0,2.0,504990.0,Average
392,2003.0,3.0,3.0,2.0,2.0,2187.0,2.0,371990.0,Affordable
393,2003.0,3.0,3.0,2.0,2.0,2187.0,2.0,361990.0,Affordable
394,2003.0,4.0,3.0,2.0,2.0,2030.0,2.0,499900.0,Average
396,2003.0,3.0,2.0,2.0,2.0,1315.0,2.0,329990.0,Affordable
398,2003.0,3.0,2.0,2.0,2.0,1362.0,2.0,314990.0,Affordable
399,2003.0,3.0,2.0,2.0,2.0,1399.0,2.0,424990.0,Average
400,2003.0,3.0,2.0,2.0,2.0,1436.0,2.0,309990.0,Affordable
402,2003.0,4.0,3.0,2.0,2.0,2247.0,2.0,384990.0,Affordable
403,2003.0,4.0,0.0,2.0,2.0,2400.0,2.0,45000.0,Affordable
407,2003.0,3.0,3.0,2.0,2.0,3054.0,2.0,599900.0,Average
408,1996.0,2.0,2.0,2.0,2.0,1188.0,2.0,389000.0,Affordable
409,2003.0,4.0,3.0,2.0,2.0,2247.0,2.0,444990.0,Average
411,2003.0,3.0,2.0,2.0,2.0,1310.0,2.0,404990.0,Affordable
416,2003.0,3.0,3.0,2.0,2.0,2187.0,2.0,369990.0,Affordable
425,2003.0,3.0,3.0,2.0,2.0,1740.0,2.0,427000.0,Average
426,2003.0,4.0,3.0,2.0,2.0,2247.0,2.0,366990.0,Affordable
432,2003.0,3.0,3.0,2.0,2.0,1555.0,2.0,379990.0,Affordable
433,2003.0,4.0,3.0,2.0,2.0,2077.0,2.0,719500.0,Luxury
434,2003.0,3.0,3.0,2.0,2.0,2126.0,2.0,501990.0,Average
435,2003.0,3.0,2.0,2.0,2.0,1591.0,2.0,410400.0,Average
436,2003.0,3.0,3.0,2.0,2.0,2721.0,2.0,739500.0,Luxury
437,2003.0,4.0,3.0,2.0,2.0,2247.0,2.0,439990.0,Average
438,2003.0,3.0,3.0,2.0,2.0,2187.0,2.0,389990.0,Affordable
442,2003.0,4.0,3.0,2.0,2.0,2400.0,2.0,509990.0,Average
445,2003.0,3.0,3.0,2.0,2.0,2578.0,2.0,499990.0,Average
448,2003.0,2.0,2.0,2.0,2.0,1610.0,2.0,639990.0,Average
453,2003.0,4.0,3.0,2.0,2.0,2291.0,2.0,770900.0,Luxury
454,2003.0,4.0,3.0,2.0,2.0,2400.0,2.0,774990.0,Luxury
458,2003.0,4.0,3.0,2.0,2.0,2400.0,2.0,499990.0,Average
459,2007.0,4.0,3.0,2.0,2.0,2285.0,2.0,515000.0,Average
460,2003.0,3.0,2.0,2.0,2.0,1498.0,2.0,374900.0,Affordable
468,2003.0,3.0,3.0,2.0,2.0,2290.0,2.0,654990.0,Luxury
469,1996.0,3.0,2.0,2.0,2.0,1462.0,2.0,339000.0,Affordable
471,2003.0,3.0,3.0,2.0,2.0,1555.0,2.0,379990.0,Affordable
472,2003.0,3.0,2.0,2.0,2.0,1394.0,2.0,349990.0,Affordable
476,2003.0,4.0,0.0,2.0,2.0,2400.0,2.0,535000.0,Average
478,2003.0,3.0,2.0,2.0,2.0,1315.0,2.0,329990.0,Affordable
480,2003.0,3.0,3.0,2.0,2.0,1717.0,2.0,702900.0,Luxury
487,2003.0,3.0,3.0,2.0,2.0,2045.0,2.0,504990.0,Average
488,2003.0,3.0,3.0,2.0,2.0,1619.0,2.0,569990.0,Average
490,2003.0,4.0,0.0,2.0,2.0,2400.0,2.0,342000.0,Affordable
493,2003.0,3.0,3.0,2.0,2.0,2068.0,2.0,411600.0,Average
495,2003.0,3.0,2.0,2.0,2.0,1216.0,2.0,89900.0,Affordable
496,2003.0,3.0,3.0,2.0,2.0,2218.0,2.0,504990.0,Average
502,2003.0,3.0,3.0,2.0,2.0,2187.0,2.0,434990.0,Average
503,2003.0,3.0,3.0,2.0,2.0,1480.0,2.0,292500.0,Affordable
508,2003.0,3.0,3.0,2.0,2.0,2187.0,2.0,444990.0,Average
510,1997.0,4.0,2.0,2.0,2.0,2244.0,2.0,575000.0,Average
511,2003.0,3.0,2.0,2.0,2.0,1315.0,2.0,329990.0,Affordable
513,2003.0,4.0,3.0,2.0,2.0,2247.0,2.0,319990.0,Affordable
514,2003.0,3.0,3.0,2.0,2.0,2721.0,2.0,726500.0,Luxury
516,2003.0,3.0,2.0,2.0,2.0,1399.0,2.0,389990.0,Affordable
518,2003.0,3.0,3.0,2.0,2.0,2183.0,2.0,635000.0,Average
523,2003.0,3.0,3.0,2.0,2.0,2385.0,2.0,512900.0,Average
524,2003.0,4.0,3.0,2.0,2.0,2077.0,2.0,718900.0,Luxury
525,2003.0,3.0,2.0,2.0,2.0,1353.0,2.0,426300.0,Average
534,2003.0,4.0,3.0,2.0,2.0,2067.0,2.0,484990.0,Average
540,1997.0,5.0,3.0,2.0,2.0,2224.0,2.0,449000.0,Average
545,2005.0,4.0,2.0,2.0,2.0,2070.0,2.0,489000.0,Average
546,2003.0,3.0,3.0,2.0,2.0,1764.0,2.0,503920.0,Average
553,2003.0,3.0,3.0,2.0,2.0,1555.0,2.0,379990.0,Affordable
554,2003.0,3.0,3.0,2.0,2.0,2424.0,2.0,589990.0,Average
557,2003.0,4.0,3.0,2.0,2.0,2499.0,2.0,690581.0,Luxury
561,2003.0,2.0,2.0,2.0,2.0,2268.0,2.0,673500.0,Luxury
562,2003.0,3.0,3.0,2.0,2.0,2175.0,2.0,679880.0,Luxury
