,bathrooms,has3DModel,propertyType,lotAreaValue,unit,priceChange,zestimate,daysOnZillow,datePriceChanged,price,bedrooms,longitude,hasVideo,latitude,zpid,rentZestimate,lotAreaUnit,livingArea,Street Address,City,State/ZIP
35,1,0,CONDO,,Apt 4W,,398000.0,10,,399000,1.0,-73.991,False,40.765,446074425,,,625,464 W 51st St APT 4W,New York,NY 10019
36,4,0,CONDO,,Penthouse 76,,17743300.0,703,,63815000,4.0,-73.978165,False,40.761833,440330724,,,7973,53 W 53rd St #PENTHOUSE 76,New York,NY 10019
38,5,0,CONDO,,Penthouse 76,,45248600.0,202,,49000000,4.0,-73.97757,False,40.764954,442155685,,,6512,111 W 57th St #PENTHOUSE 76,New York,NY 10019
39,2,0,CONDO,,Apt 6A,,293500.0,18,,299000,2.0,-73.82382,False,40.7051,126229394,3029,,1012,84-70 129th St APT 6A,Kew Gardens,NY 11415
40,1,0,CONDO,,Apt 11,,653700.0,90,,629000,2.0,-73.960335,False,40.720665,2130785073,4024,,0,65 N 8th St APT 11,Brooklyn,NY 11211
45,3,0,CONDO,,14,,,16,,275000,2.0,-73.91601,False,40.62746,30780205,2825,,853,1121 E 72nd St #14,Brooklyn,NY 11234
46,1,0,SINGLE_FAMILY,,Apt 4S,,539500.0,123,,515000,2.0,-73.94988,False,40.786835,441149607,,,0,1513 Lexington Ave APT 4S,New York,NY 10029
49,2,0,CONDO,,Apt 35B,-46000.0,655200.0,143,1730707200000.0,649000,2.0,-73.9612,False,40.7698,440263326,,,0,190 E 72nd St APT 35B,New York,NY 10021
50,1,0,CONDO,,Apt C7,,,17,,949000,2.0,-73.97022,False,40.6758,245021993,6538,,1200,20 Plaza St E APT C7,Brooklyn,NY 11238
52,2,0,CONDO,,L1,-5000.0,,107,1732176000000.0,344000,2.0,-73.78402,False,40.78067,2071217578,,,1250,18-35 Corporal Kennedy #L1,Bayside,NY 11360
55,2,0,CONDO,,Apt 2,,864100.0,23,,850000,2.0,-73.98241,False,40.665367,124156785,5463,,0,498 11th St APT 2,Brooklyn,NY 11215
56,2,0,CONDO,,Apt 34E,,,41,,595000,2.0,-73.97012,False,40.761642,244701648,6791,,0,465 Park Ave APT 34E,New York,NY 10022
59,1,0,CONDO,,1L,-6000.0,315700.0,30,1735891200000.0,319000,2.0,-73.84125,False,40.72143,2060420313,3033,,1150,71-36 110th St #1L,Forest Hills,NY 11375
60,1,0,CONDO,,57,,411800.0,123,,399000,1.0,-74.01459,False,40.712856,441888985,,,950,100 west W 57 St Street #2 H,New York (Manhattan),NY 10019
61,1,0,CONDO,,Apt 2W,,452300.0,179,,470000,1.0,-73.99016,False,40.76799,418274070,,,0,504 W 55th St APT 2W,New York,NY 10019
62,2,0,SINGLE_FAMILY,1306.8,83,,563800.0,12,,568000,3.0,-74.15509,False,40.61956,32306147,3171,sqft,1181,11 Jules Dr #83,Staten Island,NY 10314
65,3,0,CONDO,,A3A,,2437600.0,133,,2485000,3.0,-73.99848,False,40.68876,442154286,,,3044,401 Hicks St #A3A,Brooklyn,NY 11201
66,2,0,CONDO,,B1,,917600.0,25,,899000,2.0,-73.98873,False,40.6647,443840052,,,1145,231 16th St #B1,Brooklyn,NY 11215
67,6,0,CONDO,,126,,59723700.0,207,,65000000,5.0,-73.981,False,40.7662,338593841,124059,,7074,217 W 57th St #126,New York,NY 10019
68,1,0,CONDO,,Apt 5A,1000.0,,442,1736841600000.0,125000,2.0,-73.92663,False,40.86167,2054303228,2271,,604,21 Arden St APT 5A,New York,NY 10040
71,2,0,CONDO,,Unit 9,-90000.0,904800.0,226,1733817600000.0,889000,3.0,-73.95562,False,40.799828,442155609,,,0,1947-C Adam C Powell Blvd UNIT 9,New York,NY 10026
78,1,0,CONDO,,Apt 6A,,,2,,199000,2.0,-73.90629,False,40.886738,244474078,,,850,3636 Fieldston Road #6A,Bronx,NY 10463
